,0,1,2,3,4,5,6,7,8,9
coverage_error,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
ranking_loss,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hamming_loss,0.04554100928723285,0.0472194248629294,0.04674252565818831,0.04601571268237935,0.04632426988922457,0.046436164260937676,0.04663096831771531,0.04612794612794613,0.04665995300436388,0.046100481145798365
f1_macro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaccard_Index,0.9544589907127707,0.9527805751370739,0.9532574743418148,0.9539842873176243,0.9536757301107788,0.9535638357390658,0.9533690316822881,0.9538720538720573,0.9533400469956396,0.9538995188542051
zero_one_error,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
